S.No,Hour,Wind_Power_MW,Demand_MW,,Battery_Flow_MW,,Battery_SOC_MWh
0,0,2.49816,3.82428,,-1.326119,,3.604085
1,1,4.802857,5.140704,,-0.337847,,3.248457
2,2,3.927976,2.798695,,1.129281,,4.321273
3,3,3.394634,4.056938,,-0.662304,,3.624111
4,4,1.624075,4.369658,,-2,,1.518848
5,5,1.623978,2.185802,,-0.561824,,0.927455
6,6,1.232334,4.430179,,-0.927455,,-0.048813
7,7,4.464705,2.682096,,1.782608,,1.644664
8,8,3.40446,2.260206,,1.144254,,2.731705
9,9,3.83229,5.795542,,-1.963252,,0.665124
10,10,1.082338,5.862528,,-0.665124,,-0.035007
11,11,4.879639,5.233589,,0.035007,,0.001842
12,12,4.329771,3.218455,,1.111315,,1.057592
13,13,1.849356,2.390688,,-0.541332,,0.487769
14,14,1.7273,4.736932,,-0.487769,,-0.025672
15,15,1.733618,3.76061,,0.025672,,0.001351
16,16,2.216969,2.488153,,-0.001351,,-0.000071
17,17,3.099026,3.980708,,0.000071,,0.000004
18,18,2.72778,2.137554,,0.590226,,0.560718
19,19,2.164917,5.637282,,-0.560718,,-0.029511
20,20,3.447412,3.03512,,0.412292,,0.362166
21,21,1.557975,4.650089,,-0.362166,,-0.019061
22,22,2.168579,3.246844,,0.019061,,0.001003
23,23,2.465447,4.080272,,-0.001003,,-0.000053
